model_name,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
Random Forest,0.7654584221748401,0.5452674897119342,0.7085561497326203,0.6162790697674418,0.831966237168105
Gradient Boosting,0.7931769722814499,0.6325878594249201,0.5294117647058824,0.5764192139737991,0.8391774645262486
XGBoost,0.7967306325515281,0.6392405063291139,0.5401069518716578,0.5855072463768116,0.8379790444735493
LightGBM,0.7910447761194029,0.6257861635220126,0.5320855614973262,0.5751445086705202,0.837760326342981
